appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
1290000,PowerWash Simulator,"['Casual', 'Relaxing', 'Simulation', 'Multiplayer', 'First-Person', '3D', 'Sandbox', 'Funny', 'Co-op', 'Immersive Sim', 'Online Co-Op', 'Family Friendly', 'Story Rich', 'Colorful', 'Realistic', 'Wholesome', 'Singleplayer', 'Indie', 'Cozy', 'Atmospheric']",24.99,43805,97,1504220,29056633,76042,"['Casual', 'Indie', 'Simulation']"
250900,The Binding of Isaac: Rebirth,"['Action Roguelike', 'Roguelike', 'Indie', 'Replay Value', 'Difficult', 'Pixel Graphics', 'Dungeon Crawler', 'Great Soundtrack', 'Singleplayer', 'Dark', '2D', 'Local Co-Op', 'Remake', 'Gore', 'Procedural Generation', 'Roguelite', 'Atmospheric', 'Action', 'Co-op', 'Horror']",14.99,287066,98,7248379,62407546,328948,['Action']
1336490,Against the Storm,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Management', 'Building', 'Grand Strategy', 'Colony Sim', 'Moddable', 'Resource Management', 'Open World', 'Sandbox', 'RTS', 'Survival', 'Singleplayer', 'Historical', 'Economy', '4X', 'Real-Time with Pause', 'Replay Value']",29.99,26655,95,928945,15051751,122392,"['Simulation', 'Strategy']"
1061910,Metal: Hellsinger,"['Rhythm', 'FPS', 'Atmospheric', 'Singleplayer', 'Music', 'Shooter', 'Action', 'Demons', 'Combat', 'First-Person', 'Female Protagonist', 'Adventure', 'Score Attack', '3D', 'Dark Fantasy', 'Dark', 'Stylized', 'Cinematic', 'Narration', 'Fantasy']",29.99,13652,96,523932,8429312,56301,"['Action', 'Adventure']"
213670,South Park™: The Stick of Truth™,"['RPG', 'Comedy', 'Adventure', 'Funny', 'Dark Humor', 'Turn-Based', 'Singleplayer', 'Action', 'Mature', '2D', 'Satire', 'Nudity', 'Cartoon', 'Open World', 'Story Rich', 'Fantasy', 'Epic', 'Turn-Based Strategy', 'Zombies', 'JRPG']",29.99,60718,98,2926378,35930660,118383,"['Action', 'Adventure', 'RPG']"
1562700,SANABI,"['Pixel Graphics', 'Action', 'Story Rich', 'Cyberpunk', 'Adventure', '2D Platformer', 'Action-Adventure', '2D', 'Singleplayer', 'Platformer', 'Indie', 'Retro', 'Difficult', 'Side Scroller', 'Atmospheric', 'Great Soundtrack', 'Precision Platformer', 'Linear', 'Sci-fi', 'Dystopian']",14.99,30027,98,490253,4970417,25748,"['Action', 'Adventure', 'Indie']"
466630,The Pedestrian,"['Puzzle', 'Puzzle Platformer', 'Logic', 'Side Scroller', 'Platformer', 'Atmospheric', '2D Platformer', 'Female Protagonist', '2.5D', '3D', 'Building', 'Mystery', 'Adventure', 'Relaxing', 'Colorful', 'Cute', 'Surreal', 'Minimalist', 'Family Friendly', 'Emotional']",19.99,4308,97,119272,1315179,16027,"['Adventure', 'Indie']"
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,"['Action', ""Beat 'em up"", 'Action RPG', 'Action-Adventure', 'Violent', 'Story Rich', 'Sexual Content', 'Martial Arts', 'Singleplayer', 'JRPG', 'Open World', 'Comedy', 'Gore', 'Adventure', 'Hack and Slash', 'Great Soundtrack', 'Emotional', 'Mature', 'Dog', 'Third Person']",49.99,8023,97,247761,9723594,35191,"['Action', 'Adventure']"
205100,Dishonored,"['Stealth', 'First-Person', 'Assassin', 'Action', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Multiple Endings', 'Adventure', 'Dark', 'Magic', 'Dystopian', 'FPS', 'RPG', 'Replay Value', 'Immersive Sim', 'Fantasy', 'Open World', 'Shooter']",9.99,78076,98,3814729,25162781,91937,"['Action', 'Adventure']"
220,Half-Life 2,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Puzzle', 'Moddable']",9.99,190544,98,11043894,42681448,91878,['Action']
550,Left 4 Dead 2,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']",9.99,850838,98,42549216,265369077,1177096,['Action']
850190,Goat Simulator 3,"['Physics', 'Exploration', 'Sandbox', 'Open World', 'Character Customization', 'Simulation', '3D', 'Casual', 'Action-Adventure', 'Comedy', 'Cartoony', 'Colorful', 'Adventure', 'Family Friendly', 'Co-op', 'Multiplayer', 'Local Co-Op', 'Online Co-Op', 'Singleplayer', 'Local Multiplayer']",29.99,7333,97,247978,3255090,21316,"['Adventure', 'Casual', 'Simulation']"
1623940,Bramble: The Mountain King,"['Horror', 'Adventure', 'Cinematic', 'Atmospheric', 'Mythology', 'Dark Fantasy', 'Emotional', 'Dark', 'Narration', '3D', 'Singleplayer', 'Lore-Rich', 'Third Person', 'Gore', 'Exploration', 'Survival Horror', 'Story Rich', 'Linear', 'Action-Adventure', '3D Platformer']",29.99,4172,95,136139,2405055,25136,"['Adventure', 'Indie']"
227300,Euro Truck Simulator 2,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Immersive Sim', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']",19.99,724307,98,19107807,84838029,1113128,"['Indie', 'Simulation']"
238460,BattleBlock Theater®,"['Co-op', 'Platformer', 'Funny', 'Comedy', 'Level Editor', 'Multiplayer', 'Local Co-Op', '2D', 'Online Co-Op', 'Cats', 'Action', '2D Platformer', 'Side Scroller', 'Local Multiplayer', 'Casual', 'Singleplayer', 'Puzzle Platformer', 'Indie', 'Puzzle', 'Narration']",14.99,69425,97,4385546,13369325,142769,"['Action', 'Adventure', 'Casual', 'Indie']"
1687950,Persona 5 Royal,"['JRPG', 'Story Rich', 'Turn-Based Combat', 'Great Soundtrack', 'Anime', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Dating Sim', 'Multiple Endings', 'Turn-Based Strategy', 'Emotional', 'Visual Novel', 'Sexual Content', 'Colorful', 'Adventure', 'Heist', 'Soundtrack', 'Detective', 'Violent']",59.99,68702,97,1945810,60643055,135142,['RPG']
2161700,Persona 3 Reload,"['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Story Rich', 'Dark', 'Emotional', 'Strategy RPG', 'Visual Novel', 'Turn-Based Combat', 'Colorful', 'Great Soundtrack', 'Supernatural', 'Mystery', 'Detective', 'Multiple Endings']",69.99,24344,94,812536,43637575,88522,"['Adventure', 'RPG', 'Strategy']"
1378990,Crash Bandicoot™ 4: It’s About Time,"['Action', '3D Platformer', 'Platformer', 'Adventure', 'Difficult', 'Action-Adventure', 'Cartoony', 'Singleplayer', '3D', 'Third Person', 'Comedy', 'Colorful', 'Family Friendly', 'Great Soundtrack', 'Multiplayer', 'Female Protagonist', 'Funny']",39.99,2695,87,165129,3442598,15826,['Action']
1113000,Persona 4 Golden,"['JRPG', 'Great Soundtrack', 'Story Rich', 'Anime', 'Turn-Based Combat', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Mystery', 'Multiple Endings', 'Emotional', 'Turn-Based Strategy', 'Detective', 'Dating Sim', 'Colorful', 'Adventure', 'Strategy', 'Visual Novel', 'Violent', 'Turn-Based']",19.99,68966,97,1409854,22088349,94472,['RPG']
1092790,Inscryption,"['Card Battler', 'Card Game', 'Story Rich', 'Deckbuilding', 'Horror', 'Dark', 'Puzzle', 'Strategy', 'Roguelite', 'Roguelike', 'Psychological', 'Surreal', 'Experimental', 'First-Person', 'Point & Click', '3D', '2D', 'Pixel Graphics', 'FMV', 'Adventure']",19.99,114524,97,2598221,30042138,118823,"['Adventure', 'Indie', 'Strategy']"
883710,Resident Evil 2,"['Zombies', 'Survival Horror', 'Horror', 'Singleplayer', 'Remake', 'Third Person', 'Gore', 'Action', 'Puzzle', 'Atmospheric', 'Violent', 'Story Rich', 'Multiplayer', 'Survival', 'Classic', 'Female Protagonist', 'Dark', 'Shooter', 'Adventure', 'Difficult']",39.99,153857,97,3541389,68234558,297597,['Action']
367520,Hollow Knight,"['Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', 'Difficult', '2D', 'Indie', 'Singleplayer', 'Atmospheric', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']",14.99,349112,97,9118277,69850616,378978,"['Action', 'Adventure', 'Indie']"
400910,Rabi-Ribi,"['Anime', 'Metroidvania', 'Bullet Hell', 'Female Protagonist', 'Pixel Graphics', 'Exploration', 'Cute', 'Indie', 'Action-Adventure', 'Side Scroller', 'Action', 'Singleplayer', 'Platformer', 'Adventure', 'Difficult', '2D', 'Fantasy', 'Crowdfunded', 'Colorful', 'Magic']",17.99,11343,96,320730,2995064,54312,"['Action', 'Adventure', 'Casual', 'Indie']"
588650,Dead Cells,"['Adventure', 'Action Roguelike', 'Metroidvania', 'Pixel Graphics', 'Roguelike', '2D', 'Souls-like', 'Roguelite', 'Replay Value', 'Hack and Slash', 'Difficult', 'Platformer', 'Singleplayer', 'Roguevania', 'Action', 'Dark Fantasy', 'Procedural Generation', 'Atmospheric', 'Funny', 'Indie']",24.99,151076,97,5004411,63593130,379770,"['Action', 'Adventure', 'Indie']"
239030,"Papers, Please","['Indie', 'Political', 'Simulation', 'Singleplayer', 'Point & Click', 'Pixel Graphics', 'Dystopian', 'Multiple Endings', 'Puzzle', 'Story Rich', 'Retro', 'Atmospheric', '2D', 'Addictive', 'Great Soundtrack', 'Strategy', 'Replay Value', 'Casual', 'Difficult', 'Adventure']",9.99,67844,97,4282684,19957429,115499,"['Adventure', 'Indie']"
1593500,God of War,"['Action', 'Singleplayer', 'Story Rich', 'Adventure', 'Mythology', 'Combat', 'Third Person', 'RPG', 'Hack and Slash', 'Violent', 'Open World', 'Fantasy', 'Exploration', 'Atmospheric', 'Gore', 'Action RPG', 'Souls-like', 'Emotional', '3D', 'PvE']",49.99,129538,97,2905935,79799493,278190,"['Action', 'Adventure', 'RPG']"
1574260,My Friendly Neighborhood,"['Singleplayer', 'Survival Horror', 'Horror', 'Funny', 'Puzzle', 'Resource Management', 'Exploration', 'Survival', 'First-Person', 'FPS', 'Shooter', 'Adventure', 'Story Rich', 'Choices Matter', 'Lore-Rich', 'Multiple Endings', 'Atmospheric', 'Action', 'Action-Adventure', '3D']",29.99,2225,96,67766,1802402,14345,"['Action', 'Adventure', 'Indie']"
653530,Return of the Obra Dinn,"['Detective', 'Mystery', 'Puzzle', 'Story Rich', 'Atmospheric', 'Singleplayer', 'Indie', 'Great Soundtrack', 'First-Person', 'Historical', 'Adventure', 'Naval', 'Difficult', 'Retro', 'Multiple Endings', 'Violent', 'Pirates', 'Horror', 'Walking Simulator', 'Noir']",19.99,25190,97,752328,10516772,74279,"['Adventure', 'Indie']"
219740,Don't Starve,"['Survival', 'Open World Survival Craft', 'Crafting', 'Adventure', 'Indie', 'Sandbox', 'Singleplayer', 'Perma Death', 'Multiplayer', 'Open World', 'Exploration', 'Roguelike', 'Replay Value', 'Moddable', 'Difficult', 'Simulation', '2D', 'Top-Down', 'Survival Horror', 'Horror']",9.99,105712,97,6268387,22185596,204765,"['Adventure', 'Indie', 'Simulation']"
813230,ANIMAL WELL,"['Exploration', 'Metroidvania', 'Puzzle', 'Puzzle Platformer', 'Pixel Graphics', 'Horror', 'Platformer', '2D', 'Adventure', 'Atmospheric', 'Mystery', 'Action', 'Surreal', 'Relaxing', 'Nonlinear', 'Cute', 'Indie', 'Singleplayer', 'Controller', 'Retro']",24.99,16464,96,374210,7639777,48351,"['Action', 'Adventure', 'Indie']"
548430,Deep Rock Galactic,"['Dwarf', 'Co-op', 'PvE', 'FPS', 'Procedural Generation', 'Class-Based', 'Shooter', 'Exploration', 'First-Person', 'Loot', 'Sci-fi', 'Space', 'Action', 'Atmospheric', 'Looter Shooter', 'Combat', 'Survival', 'Horror', 'Dark', 'Action Roguelike']",29.99,288412,97,7846321,98867352,2650732,['Action']
