iter	RMSE
0	1.773911598
1	1.729336789
2	1.685421499
3	1.646974919
4	1.612141902
5	1.571075255
6	1.535272742
7	1.502129966
8	1.471260223
9	1.437263064
10	1.403700607
11	1.372487362
12	1.343470055
13	1.315176462
14	1.29000224
15	1.263494322
16	1.239008981
17	1.215527067
18	1.193207953
19	1.172834012
20	1.149917998
21	1.128438107
22	1.110258103
23	1.089722673
24	1.070040434
25	1.052094408
26	1.033186612
27	1.016266129
28	0.9991778723
29	0.9848286241
30	0.9703743609
31	0.9565034748
32	0.9417306341
33	0.9289504457
34	0.9142852132
35	0.9039558402
36	0.8917665817
37	0.8806211467
38	0.8706329978
39	0.858793129
40	0.8481865664
41	0.8385271745
42	0.827970183
43	0.8184270367
44	0.8091370987
45	0.7992015515
46	0.7905026592
47	0.7817186043
48	0.774208536
49	0.7674946309
50	0.7602795953
51	0.7526804436
52	0.7464412164
53	0.7406828939
54	0.7354546065
55	0.7278166638
56	0.7224678554
57	0.7158252731
58	0.7107803801
59	0.7042193544
60	0.6982138991
61	0.6930880705
62	0.6871398023
63	0.6820537122
64	0.6776850786
65	0.6736015396
66	0.669076962
67	0.6642675806
68	0.6599178265
69	0.6554813047
70	0.651233202
71	0.647628979
72	0.6444068325
73	0.6397983129
74	0.6368971905
75	0.6332838971
76	0.6301225521
77	0.6267938359
78	0.6232932212
79	0.6192086695
80	0.6162016374
81	0.6130527041
82	0.6101204829
83	0.6073984231
84	0.6043788423
85	0.6015853354
86	0.5989098131
87	0.5958054623
88	0.5920648747
89	0.5900152897
90	0.587030539
91	0.5846432784
92	0.5812812339
93	0.5788118603
94	0.5764661512
95	0.5740536592
96	0.5714777814
97	0.5693461473
98	0.5670083518
99	0.5654724331
100	0.5635980765
101	0.5608324427
102	0.5588370418
103	0.5566421922
104	0.554463611
105	0.552327639
106	0.5502899468
107	0.5482415196
108	0.5461859716
109	0.5442199694
110	0.5416526731
111	0.5389579503
112	0.53658836
113	0.5339908613
114	0.531906885
115	0.5307225202
116	0.5290228297
117	0.5277751614
118	0.5264073862
119	0.5244907978
120	0.5230429202
121	0.520528968
122	0.5184389155
123	0.5171088309
124	0.5160366309
125	0.5147048784
126	0.5123720161
127	0.5103962576
128	0.5090694525
129	0.5079762551
130	0.5063407686
131	0.504852115
132	0.5032131829
133	0.501411102
134	0.5005017719
135	0.4994435841
136	0.4985868396
137	0.497086505
138	0.4959258586
139	0.4944857565
140	0.4937834657
141	0.4926675485
142	0.4911620987
143	0.4893006275
144	0.4883102358
145	0.4868863905
146	0.4853407403
147	0.484079971
148	0.4827322061
149	0.481172071
150	0.4799766945
151	0.4789107372
152	0.4768744338
153	0.4756710191
154	0.4742338716
155	0.4727990323
156	0.4715094461
157	0.4700984731
158	0.4690605907
159	0.4678089726
160	0.466815928
161	0.4658146988
162	0.464546365
163	0.4629014345
164	0.4619373762
165	0.4611918259
166	0.4606797022
167	0.4597460004
168	0.4589000683
169	0.4580427438
170	0.4574756121
171	0.4568199925
172	0.4558709391
173	0.4547104326
174	0.4540486774
175	0.4535244893
176	0.4522569401
177	0.4513026486
178	0.4502508234
179	0.4493855475
180	0.4483371397
181	0.4470614625
182	0.4462531151
183	0.4454528736
184	0.4444322238
185	0.4438567287
186	0.4428130161
187	0.4422907933
188	0.4413936212
189	0.4403812181
190	0.4395226067
191	0.439065086
192	0.4381488749
193	0.4376176624
194	0.4372568343
195	0.4365870915
196	0.4350315654
197	0.434331197
198	0.433469138
199	0.4317741592
200	0.4313093605
201	0.4307509468
202	0.4296926833
203	0.428660412
204	0.4279153336
205	0.4275853668
206	0.4265796366
207	0.4261515481
208	0.4256488776
209	0.4251137847
210	0.4246524947
211	0.4239756274
212	0.423165107
213	0.422429394
214	0.4214845492
215	0.420577149
216	0.4194531959
217	0.4189341154
218	0.41809996
219	0.4173400408
220	0.4161906237
221	0.4146699812
222	0.4138224969
223	0.4128535697
224	0.4123355008
225	0.4112128737
226	0.4106278672
227	0.4102441026
228	0.409833202
229	0.4088267309
230	0.4085624247
231	0.4079952426
232	0.4070628575
233	0.4067941868
234	0.4058633812
235	0.4053839712
236	0.4048642167
237	0.4034785866
238	0.4031755303
239	0.4027077707
240	0.4017480751
241	0.401012014
242	0.4005224518
243	0.3994331573
244	0.3987597116
245	0.3981280634
246	0.3971431103
247	0.3965866468
248	0.3961544279
249	0.3950545922
250	0.3942917369
251	0.3931264092
252	0.3916002611
253	0.3907517462
254	0.3900264724
255	0.3894596811
256	0.3885164531
257	0.3880537147
258	0.3872644419
259	0.386542162
260	0.3858749104
261	0.3852460026
262	0.3850290211
263	0.3845129201
264	0.3834942379
265	0.3824933431
266	0.3820669564
267	0.3816105697
268	0.3812959396
269	0.3804491735
270	0.3790445324
271	0.3780044592
272	0.3769644712
273	0.3762870362
274	0.3749979951
275	0.374105714
276	0.3730915748
277	0.3722274984
278	0.371035928
279	0.3702433406
280	0.3688792531
281	0.3686371089
282	0.3671019979
283	0.366377798
284	0.3659121221
285	0.3654044507
286	0.3645017936
287	0.3639029412
288	0.3637269264
289	0.363093438
290	0.3628261623
291	0.3621046952
292	0.3614687197
293	0.3605443677
294	0.3597696987
295	0.3596207218
296	0.3585994823
297	0.3575996013
298	0.356873907
299	0.3562142304
300	0.3560109718
301	0.355168294
302	0.3547653072
303	0.3545956366
304	0.3544361698
305	0.3541963046
306	0.3536164931
307	0.3529690877
308	0.3525795203
309	0.3516555966
310	0.3506365444
311	0.3500607531
312	0.349267811
313	0.3490600291
314	0.348427816
315	0.3474803648
316	0.3471552998
317	0.3462524948
318	0.3454484881
319	0.3448811223
320	0.3442747257
321	0.3441467164
322	0.3438057428
323	0.3435756874
324	0.342820452
325	0.3420019417
326	0.3408463922
327	0.3399515848
328	0.3396070104
329	0.3388031367
330	0.3382196143
331	0.3379215842
332	0.3370274902
333	0.3362597859
334	0.336046643
335	0.3352134713
336	0.3341943007
337	0.3336543426
338	0.3328042775
339	0.3318143539
340	0.3311973873
341	0.330480308
342	0.3303189988
343	0.3292867858
344	0.328693546
345	0.3275803002
346	0.3269371893
347	0.3264324382
348	0.3262377078
349	0.3257838425
350	0.3252659827
351	0.3245389142
352	0.3237268452
353	0.3232225904
354	0.322434091
355	0.3222040971
356	0.3215054625
357	0.3209979223
358	0.3206980139
359	0.3201028839
360	0.3196895095
361	0.3189866174
362	0.318145158
363	0.3173021963
364	0.3166353487
365	0.3159586672
366	0.3155623702
367	0.3147813943
368	0.3142497291
369	0.3137906443
370	0.3127419601
371	0.3120682266
372	0.3111479443
373	0.3104312302
374	0.3095274665
375	0.3088594208
376	0.3081112853
377	0.3075400462
378	0.3071449401
379	0.3069510403
