Sales,Date,Gap,PriceMax,PriceMin,Rawg,Youtube,TwitchPChannel,TwitchPViewer,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends
5275914,41505,190,20,4,3550,168681,100,8832,7.4,86,1705,45,42270,62234,67579,932,1.315789474
5210000,44092,12,60,60,72,88004,1571,45152,6.3,82,515,97,,,,112,0.11
5000000,42178,111,60,5,4456,299080,137,12640,7.8,87,6329,119,27406,51641,128153,2197,7.692307692
5000000,43007,731,20,14,2245,164130,900,184477,8.4,88,2060,142,19026,46831,233444,179,7.142857143
5000000,42031,200,40,14,1989,331407,544,134887,7.9,75,3340,124,45876,117849,461960,1017,12.5
5000000,41961,86,30,7.5,2795,495006,71,4862,7.7,85,3775,115,16963,23815,273062,1760,14.28571429
5000000,42304,92,60,10,1073,137608,289,128338,6.5,84,2837,101,,,,378,0.52
5000000,43494,7,60,20,725,93732,3855,127041,8.3,83,2434,110,,,,251,0.12
5000000,44076,64,60,39,85,364782,6873,112997,1.2,68,692,83,20687,6383,16808,65,2.702702703
5000000,42465,1152,40,10,2997,115445,433,63330,7.1,77,2759,120,2719,10899,102215,1032,3.03030303
5000000,41702,640,40,30,2942,229588,91,29136,8.6,87,2069,55,34811,28407,106334,264,3.571428571
4700000,43490,541,60,20,1087,190048,6488,314244,9,93,4250,137,74277,23616,223795,247,9.090909091
4700000,42055,1315,60,4,2045,94538,18,4011,6.7,63,3552,94,,,,1325,3.225806452
4700000,42969,1005,60,9,1791,79796,211,59504,7.9,84,1123,104,,,,1524,0.62
4654955,41450,124,20,0,3830,43498,37,7590,2.1,80,5724,82,10349,32870,96608,375,1.612903226
4590000,43476,83,60,42,86,70916,41,23701,7.1,80,199,70,,,,466,0
4563627,41358,334,15,7,6778,166104,27,16259,8.6,94,8158,68,1723,89158,114915,3994,10
4500000,41957,968,20,5,2743,64528,35,17603,8.4,83,828,62,3140,46946,279854,5366,1.449275362
4309358,42573,106,15,9,2051,47101,165,26630,7.2,81,404,21,20116,133993,244615,432,10
4200000,43578,66,60,24,830,118247,2195,202719,3.4,86,3010,135,27301,13497,15422,111,4.347826087
