ds,y,promotion
2022/8/28,16491,0.1
2022/8/29,22814,0.1
2022/8/30,35512,0
2022/8/31,11690,0
2022/9/1,10487,0
2022/9/2,9711,0
2022/9/3,7831,0
2022/9/4,6285,0
2022/9/5,5818,0
2022/9/6,5017,0
2022/9/7,3938,0
2022/9/8,3757,0
2022/9/9,4922,0
2022/9/10,3849,0
2022/9/11,3458,0
2022/9/12,3355,0
2022/9/13,2684,0
2022/9/14,2837,0
2022/9/15,2255,0
2022/9/16,2981,0
2022/9/17,2902,0
2022/9/18,2326,0
2022/9/19,1800,0
2022/9/20,1386,0
2022/9/21,1549,0
2022/9/22,1390,0
2022/9/23,1908,0
2022/9/24,1566,0
2022/9/25,1407,0
2022/9/26,1334,0
2022/9/27,1165,0
2022/9/28,919,0
2022/9/29,844,0
2022/9/30,2335,0.2
2022/10/1,2408,0.2
2022/10/2,1729,0.2
2022/10/3,1598,0.2
2022/10/4,1245,0.2
2022/10/5,1149,0.2
2022/10/6,1191,0.2
2022/10/7,1214,0.2
2022/10/8,1425,0.2
2022/10/9,1387,0.2
2022/10/10,1230,0.2
2022/10/11,1247,0
2022/10/12,1102,0
2022/10/13,1392,0
2022/10/14,899,0
2022/10/15,580,0
2022/10/16,870,0
