col1
"ActionAdventure,Modern,Open-World"
"Action,Shooter,First-Person,Tactical"
"Action,Shooter,First-Person,Arcade"
"Action,Shooter,First-Person,Tactical"
"Modern,ActionAdventure,Open-World"
"Action,Shooter,First-Person,Modern,Arcade"
"ActionAdventure,Modern,Open-World"
"Action,Shooter,First-Person,Tactical"
"ActionAdventure,Open-World"
"Action,Shooter,First-Person,Arcade"
"ActionAdventure,Open-World"
"ActionAdventure,Open-World"
"Action,Shooter,First-Person,Modern,Arcade"
"Action,Shooter,First-Person,Arcade"
"Sports,Team,Soccer,Sim"
"Action,Shooter,First-Person,Modern,Arcade"
"Sports,Team,Soccer,Sim"
"Sports,Team,Soccer,Sim"
"General,Role-Playing,Western-Style"
"General,Role-Playing,Western-Style"
"ActionRPG,Role-Playing,ActionRPG"
"General,Role-Playing,Western-Style"
"Sports,Team,Soccer,Sim"
"ActionRPG,Role-Playing,ActionRPG"
"Action,Shooter,First-Person,Tactical"
"Action,Shooter,First-Person,Tactical"
"Action,Shooter,First-Person,Arcade"
"Action,Shooter,First-Person,Tactical"
"Other,Racing,Arcade,Automobile"
"ActionRPG,Role-Playing,ActionRPG"
"Action,Shooter,First-Person,Arcade"
"Action,Platformer,3D"
"Action,Shooter,First-Person,Arcade"
"General,Modern,ActionAdventure,Linear"
"Action,Fighting,2D"
"ActionAdventure,Open-World"
"Role-Playing,ActionRPG"
"Role-Playing,ActionRPG"
"ActionAdventure,Open-World"
"Action,Puzzle,General"
"Action,Fighting,2D,3D"
"Role-Playing,ActionRPG"
"Action,Fighting,2D,3D"
"Racing,Futuristic,Sports,Team,Soccer,Arcade"
"Sports,Racing,Team,Soccer,Futuristic,Arcade"
"Sports,Team,Soccer,Arcade"
"Sports,Team,Soccer,Arcade"
"ActionAdventure,Linear"
"Role-Playing,ActionRPG"
"ActionAdventure,General,Modern"
"Action,Fighting,2D,3D"
"Sports,Team,Basketball,Sim"
"Arcade,Sports,Team,Basketball,Sim"
"Sports,Team,Basketball,Sim"
"Sports,Team,Basketball,Sim"
"Shooter,Sci-Fi,Miscellaneous,General,Action,Shooter,First-Person,Sci-Fi,Arcade"
"Historic,ActionAdventure,Survival"
"Shooter,Sci-Fi,Miscellaneous,General,Action,Shooter,First-Person,Sci-Fi,Arcade"
"Modern,ActionAdventure,General,Modern,Open-World"
"Action,Shooter,Third-Person,Arcade"
"Sports,Team,Basketball,Arcade,Sim"
"Sports,Team,Basketball,Arcade,Sim"
"Sports,Team,Basketball,Arcade,Sim"
"Miscellaneous,General,ActionAdventure,Modern,General,Modern,Open-World"
"Arcade,Sports,Team,Basketball,Sim"
"Sports,Team,Basketball,Sim"
"Sports,Team,Basketball,Sim"
"Sports,Team,Basketball,Sim"
"ActionAdventure,Modern,General,Modern,Open-World"
"ActionRPG,Role-Playing,ActionRPG"
"Racing,Simulation,Automobile"
"ActionRPG,Role-Playing,ActionRPG"
"First-Person,Role-Playing,First-Person,MassivelyMultiplayerOnline,MassivelyMultiplayer,Fantasy"
"First-Person,First-Person,MassivelyMultiplayerOnline,Fantasy,Role-Playing,MassivelyMultiplayer"
"Fantasy,ActionAdventure,General,Linear"
"First-Person,First-Person,MassivelyMultiplayerOnline,Fantasy,Role-Playing,MassivelyMultiplayer"
"ActionAdventure,General,Linear"
"Modern,ActionAdventure,General"
"Modern,ActionAdventure,General"
"Miscellaneous,Party,Minigame"
"ActionAdventure,Survival"
"Modern,ActionAdventure,General"
"ActionAdventure,Survival"
"Shooter,Modern,Action,Shooter,First-Person,Tactical,Modern"
"ActionAdventure,Survival,Sandbox"
