0,1,2,3,4,5,6,7
2153213,2668,923,611,219,2,93,23
2147445,1178,37885,10311,677,335,388,8
2100000,2772,229796,29261,3196,199,246,3635
2100000,1340,80238,573,2266,430,240,1044
2100000,290,89116,147930,1456,1686,808,889
2085605,974,82720,40915,724,49,235,149
2000000,1999,144841,105475,3553,2134,3242,2438
2000000,2528,22894,56136,742,430,713,117
2000000,1828,64368,157015,688,1157,1372,88
2000000,2014,98561,2362,1691,784,447,343
2000000,94,82673,44919,84,30,25,7
2000000,141,50206,23685,80,33,267,36
2000000,307,96838,202465,305,124,74,423
2000000,1421,31879,36181,661,44,482,56
2000000,2009,80532,211281,2890,464,41,552
2000000,1032,45760,1050,1225,275,210,369
2000000,497,1333,1634,171,121,193,22
2000000,1064,206947,9146,1020,123,77,165
2000000,965,45640,37991,119,50,106,52
2000000,2501,49704,121305,604,68,254,448
2000000,152,255,971,516,244,1143,373
2000000,1693,17993,30508,344,17,28,63
2000000,2404,83880,86606,2843,922,706,3207
1983657,880,37461,9920,1144,78,1174,105
1967015,1730,66162,32618,748,284,1132,60
1900000,51,29614,10762,197,3,234,46
1853782,433,240291,42224,119,526,48,656
1851868,3390,313557,1608,1361,469,943,1080
1800000,489,97182,125328,450,21,61,834
1700000,218,86182,13177,1620,5669,1883,172
1696896,1529,11310,29563,1062,284,106,91
1682734,627,142572,57195,362,115,541,46
1631855,484,23075,21255,113,1233,39,10
1566672,659,62979,35871,149,12,30,23
1516227,1523,5630,14577,507,425,55,225
1514177,1672,780722,2210,294,4,62,1295
1500000,261,25275,7616,349,657,534,157
1500000,553,152576,10716,968,220,169,350
1500000,2440,158841,18481,1029,437,826,697
1500000,1239,177082,64375,1050,401,286,2074
1500000,84,80090,16614,1175,368,390,148
1500000,525,43415,2836,197,1325,653,33
1500000,2054,4202,33124,506,41,476,629
1500000,308,146261,29038,527,330,326,1042
1500000,1149,9793,48164,400,350,1058,26
1498449,3890,166386,19387,609,18,99,850
1489602,1699,2463,4992,28,444,191,9
1488321,792,80624,134470,863,40,7,421
1471428,4928,155796,16743,4907,574,932,4128
1464229,1565,9154,28389,644,49,371,80
1413060,670,49128,50609,1458,18,51,40
1400000,582,41878,5484,446,68,93,299
1400000,1219,69595,174794,339,24,45,90
1400000,1417,17887,290087,16588,4211,1578,1633
1400000,1034,54510,58338,498,506,987,44
1400000,6,12709,611,95,178,23,43
1376755,3553,182473,162499,2159,601,542,949
1369504,577,1630,5453,136,245,249,1723
1358070,3292,1689,3218,519,210,483,1460
1352834,777,103540,24555,482,147,52,88
1331963,438,44256,838,577,145,28,168
1323578,2198,57224,16860,2423,141,412,271
1301428,1857,74770,120873,2341,764,578,1325
1300000,2018,116255,146848,594,206,85,383
1300000,689,144083,34575,485,1801,1104,216
1300000,1992,65524,33607,279,65,512,165
1236186,2586,27115,28800,736,91,429,585
1200000,102,383028,40901,748,1190,971,128
1200000,1316,243277,160027,2535,1494,1018,1874
1200000,850,59965,44004,749,139,81,202
1186829,2050,14092,14223,599,23,157,2861
1181288,139,10568,138487,234,303,296,29
1180000,132,31431,16519,173,221,683,145
1141383,940,19372,26544,192,11,88,505
1110000,70,58073,12884,244,882,553,69
1108262,1594,1389,12457,410,637,23,10
1100000,98,43980,8902,344,215,23,34
1100000,92,32498,11954,183,1546,488,11
1083514,1202,26595,3416,590,77,260,399
1061209,761,40921,19595,497,737,198,61
1052510,330,4942,33545,42,334,39,143
1040000,3219,52169,7842,722,233,301,102
1020632,2037,18513,139966,785,14,228,291
1019383,326,2098,6399,116,546,59,13
1010000,330,53874,41853,537,375,58,160
1000000,345,75670,56904,31,30,194,612
1000000,582,103324,4143,946,329,409,839
1000000,791,67576,32348,463,1037,150,340
1000000,1965,66864,56005,1631,2271,1534,314
1000000,244,156873,140946,82,34,30,694
1000000,3752,12272,89971,1653,438,1615,235
1000000,53,51513,4580,321,370,136,60
1000000,3824,79629,149305,1800,666,2018,2304
1000000,176,33284,7149,115,55,268,263
1000000,553,97118,10182,834,833,124,213
1000000,564,47209,34351,519,2340,452,64
1000000,2848,67707,83708,2226,591,685,1692
1000000,2959,142773,4414,3361,1285,942,3213
1000000,1542,77684,52331,488,439,1022,835
1000000,290,73437,47255,348,113,43,205
1000000,77,81730,124320,331,289,97,69
1000000,4015,68906,4518,2208,1978,1147,2140
1000000,333,47034,87400,156,11,19,13
1000000,2473,228775,218360,7543,821,745,829
1000000,221,61938,167827,1088,2922,1846,111
1000000,868,23176,113504,495,648,396,6
1000000,438,94947,94947,463,131,78,30
1000000,1111,29191,1463,231,583,39,392
1000000,784,23068,29626,281,197,592,313
1000000,570,21013,46400,12,115,148,373
1000000,241,49751,217830,516,36,34,373
1000000,13,42510,32466,526,222,86,105
1000000,1752,151294,158183,1517,110,47,703
1000000,501,333303,43467,516,3,51,1080
1000000,35,102267,148897,950,1043,1702,699
1000000,86,17694,24650,174,374,21,9
1000000,910,29956,11257,767,1820,280,97
1000000,3389,22278,15382,1966,331,2021,1625
1000000,261,57298,62063,242,1080,1289,28
1000000,3883,24040,105032,1433,599,1433,487
1000000,816,70224,114271,991,319,178,388
1000000,1386,41552,77418,258,64,126,61
1000000,894,70882,135764,791,1,4,146
987543,2593,147168,19771,1971,802,2778,2359
955731,377,70568,38377,303,107,348,126
955508,158,57151,11720,83,49,187,349
952680,573,18193,36382,26,4,104,66
952431,636,21240,43582,116,19,65,15
920000,28,59649,11844,371,124,63,93
918038,84,48078,5520,93,1584,488,18
900000,2737,42049,6038,1346,193,119,205
900000,803,33847,30369,1025,682,191,220
885000,22,73977,86681,2116,848,206,1344
880000,73,33104,9342,96,798,29,23
877129,2669,361,5676,52,32,211,13
870000,121,17189,328,82,371,46,22
857109,596,55574,13148,948,1,121,46
840770,598,3294,15351,61,228,4,78
820000,230,11161,22909,329,172,587,172
815169,370,23448,46646,94,81,216,26
798745,0,13183,4976,84,169,120,14
790000,346,9373,42271,162,200,24,470
781447,2338,3310,3886,378,158,64,186
777372,1655,38247,40338,615,483,1736,2006
770000,14,3603,2370,123,181,4,10
764290,2861,6451,12797,566,179,74,25
750761,806,25446,6309,136,18,106,6
740790,1011,1119,2564,151,33,181,74
735979,1565,7479,733,203,159,92,24
730000,59,31944,7026,216,1109,431,37
728091,915,5331,2725,335,158,97,253
714623,157,104239,64093,25,156,76,320
707718,552,2286,15418,49,644,4,7
702654,1453,2372,11308,393,810,67,62
700000,105,41670,36802,278,778,214,49
700000,89,2242,9009,96,885,380,15
691324,2310,11452,23174,755,811,959,1596
688243,550,1027,10435,150,152,123,343
680572,744,23345,28233,443,45,55,46
671540,1178,3150,4511,156,183,10,54
668962,2078,1091,491,54,149,5,9
660000,546,10074,551,95,148,34,19
653179,1973,84277,4758,23,147,9,12
646962,2427,4673,112983,57,900,26,35
642851,342,65839,39380,459,1412,67,91
633209,595,1253,588,16,223,4,34
620000,122,10382,112255,195,1005,154,23
620000,482,56989,1082,121,157,371,200
620000,1227,104219,7548,674,511,982,502
610347,586,303,202,39,147,91,38
610000,41,17156,8311,44,634,33,6
601365,892,1073,877,57,13,23,51
592993,2389,1291,939,121,110,4,62
589688,539,18386,859,244,10,29,81
587213,2626,149131,19970,1068,30,635,293
583602,845,88690,2949,313,27,52,66
570000,36,24333,18686,242,1241,516,58
563737,308,17975,50067,20,9,4,49
562631,1168,24648,25807,534,54,106,60
554955,3446,75426,91755,872,4,37,156
550000,3,10173,0,117,76,84,96
549148,1107,939,4354,100,130,115,43
540496,264,55747,30663,58,270,8,22
540000,64,1560,3591,25,4,82,17
540000,176,612,202,23,3,25,12
539248,901,4797,134211,45,29,73,26
538219,1530,18041,3340,2127,108,345,42
538061,1622,601,143685,243,200,13,35
535073,859,160737,3884,1057,312,108,462
534443,262,690,21117,55,226,14,18
530000,124,1478,23848,48,257,12,15
520000,71,64432,35514,138,234,74,140
520000,147,15127,11596,261,374,53,27
519467,293,1895,12278,247,171,90,35
502562,708,1663,24272,51,4,78,8
500000,959,59881,173228,473,23,82,141
500000,287,34987,28690,468,1464,328,84
500000,452,27116,30617,66,13,72,61
500000,1346,44516,170522,1329,1270,1215,279
500000,225,9012,2748,47,122,174,25
500000,162,74667,49840,267,167,42,83
500000,217,14419,46465,111,27,55,27
500000,938,73654,30600,286,156,78,16
500000,431,35443,49471,209,292,4,51
500000,48,15521,20171,111,196,50,27
500000,408,14784,39729,131,349,323,19
500000,560,42011,39807,174,108,32,90
500000,683,58761,63341,106,174,178,90
500000,218,1150,101560,233,369,44,90
500000,3089,109372,76838,1873,442,435,509
500000,58,6574,7926,465,2699,736,27
499550,720,2471,18719,68,0,33,16
498487,156,3627,131894,156,174,48,23
496869,712,88014,20047,47,34,809,55
480000,1345,139428,55149,2277,2421,1205,936
476035,619,485,2739,212,863,12,35
474515,350,2003,20433,13,1676,943,11
460000,1419,13707,36902,285,135,225,32
456656,1143,4709,5515,164,98,29,54
453247,1431,249,467,49,129,7,60
452658,405,6838,10789,18,114,134,44
451407,1072,2949,708,150,113,43,84
450000,296,38932,749,52,113,4,31
450000,53,2310,12,51,3,4,64
450000,2930,60057,92396,1440,51,237,1052
449687,813,2254,3186,86,366,36,14
