0,1,2,3,4,5,6,7
66375,204,1099,80,231,19,2,21
66332,108,935,404,82,20,0,21
66045,280,889,247,37,19,26,25
66040,462,183,96,43,5,9,21
65634,69,1617,4737,150,30,7,21
65065,71,12030,2538,36,6,21,21
65019,349,1756,16418,52,3,11,21
64735,1086,358,312,58,29,6,34
63745,931,22415,2845,137,29,302,21
63199,124,484,37,5,29,2,20
63000,29,502,1053,12,36,22,20
62365,411,351,4661,10,28,0,20
62348,672,2774,37433,61,28,51,59
62085,197,1742,1308,15,28,25,19
61903,303,428,335,51,1,2,20
61729,1159,299,947,15,18,25,20
61000,18,177,0,19,23,0,20
60456,167,627,0,15,28,0,20
60211,48,493,16471,8,28,13,20
60000,1,458,210,19,28,13,20
60000,1852,34290,13087,933,429,221,562
59942,376,237,390,13,28,2,19
59822,453,1196,8773,51,28,2,14
59676,483,3694,24494,78,28,5,10
59586,193,136,454,33,28,2,20
59295,257,277,243,18,27,0,20
58523,290,99,164,20,27,2,19
57511,788,6979,5111,123,235,759,98
57000,24,1234,5145,25,340,76,13
56854,315,4240,5336,31,27,2,8
56722,125,2788,109,8,27,12,19
56578,471,266,16,31,27,12,19
56447,630,12946,27130,57,12,2,19
55987,264,509,620,30,26,2,12
55790,111,76,1952,17,26,12,15
55645,272,552,328,16,26,12,19
55442,241,922,339,22,26,2,19
55156,169,574,79396,8,8,16,19
54489,248,1111,141877,75,5,2,24
54081,156,660,724,122,26,2,6
53976,125,674,8070,10,26,7,14
53052,92,110379,1655,15,14,12,17
53000,89,17890,29480,123,25,2,122
52810,97,297,492,11,25,12,14
52272,56,8744,31723,9,25,40,34
52000,26,18961,8724,13,33,15,18
51934,166,10507,1102,15,59,11,18
51834,192,1048,1387,70,25,21,18
51000,10,2827,1121,15,25,11,16
50924,221,812,71,105,25,2,18
50619,106,6367,2596,27,72,2,17
50554,153,352,2538,37,25,11,17
50500,15,641,301,79,25,2,17
50476,18,7824,34144,17,25,92,16
50402,52,2201,3702,11,25,7,15
50124,5,6218,631,5,67,11,15
50000,49,1699,29779,38,23,2,47
50000,168,6665,37187,116,24,61,32
49953,257,134,12,5,24,2,17
49640,1245,717,32298,63,24,25,119
49531,26,532,16294,18,38,5,23
49413,29,39520,37341,16,86,11,17
49328,356,195,98462,54,24,15,17
49146,218,925,137,45,1,0,17
48881,187,12107,306,75,8,16,54
48819,6,3996,18,6,82,11,17
48027,59,2153,29657,32,22,0,17
48000,12,492,3787,16,287,6,17
47858,34,3125,2137,51,238,71,5
47422,323,4452,3225,118,168,2,17
47000,18,884,859,33,41,140,15
46979,354,753,8,37,27,0,15
46491,291,588,127,30,25,10,16
46298,189,191,49,22,23,7,16
46000,1,920,1469,35,23,8,16
45797,246,484,26387,8,23,10,16
45793,279,779,449,39,23,10,16
45719,142,2670,28601,27,23,2,16
44801,67,496,119,4,23,68,15
44680,457,1305,6741,84,23,67,7
44123,324,339559,1217,19,22,10,5
44000,24,1100,29825,28,15,10,26
43746,300,390,1344,83,22,10,14
43024,151,541,6467,24,34,10,24
42031,185,533,9108,88,32,2,74
42000,32,297,1727,18,250,10,20
41954,410,349,8023,18,22,2,58
41866,216,62,381,14,22,9,26
41818,56,428,518,51,21,0,15
41705,46,315,0,22,2,34,15
41411,59,1282,440,55,34,0,15
41288,130,42341,108,14,72,2,49
41276,126,17739,6716,174,5,18,19
41216,382,459,338,65,21,7,100
41186,278,633,31,29,18,2,51
40975,157,133,29,10,17,9,15
40472,52,1672,6301,5,21,2,24
40365,206,824,268,20,21,2,15
40240,72,5561,212,54,48,9,24
40000,3,311,96,30,21,13,22
39748,154,2447,17548,17,21,0,15
39288,20,2933,227,12,21,9,15
39209,154,376,36,34,67,9,15
39000,12,397,410,11,266,29,16
38993,79,268,47,11,20,9,14
38487,184,1213,19257,14,20,6,14
38166,2,1271,5529,19,20,9,14
38018,278,39,160,24,125,2,14
37625,83,514,5026,94,222,2139,14
36837,29,49960,15,93,65,48,14
36665,245,220,47,16,172,2,14
36523,150,467,0,29,237,672,13
35901,239,24441,5074,63,19,2,6
35636,31,3438,257,40,19,8,11
35377,198,12779,2245,64,19,2,11
35192,215,58,18,17,22,8,13
35112,222,219,73,40,19,8,13
34841,144,2422,29824,21,19,2,13
33903,288,1560,800,11,19,5,12
33291,46,4560,177,24,18,7,7
33213,182,627,71,29,18,8,12
33000,11,132,45,26,18,8,12
32942,470,1495,28221,113,18,368,13
32916,262,274,240,11,18,2,12
32717,124,530,8,36,18,8,12
32695,437,62770,56864,2288,18,16,83
32452,180,72,303,9,18,2,13
32402,72,480,5609,24,18,14,13
32221,228,98,85,18,18,2,13
32033,148,5333,92449,28,2,2,13
32000,21,3243,374,25,101,33,10
31979,327,21103,44287,117,18,2,13
31632,62,541,2406,21,18,2,12
31614,110,542,36,29,18,7,12
31482,23,1778,2541,30,21,7,12
31258,105,262,1998,22,9,2,12
31114,67,298,18,57,17,2,12
31002,215,23878,144,8,17,0,9
31000,62,3329,6934,28,205,261,12
30426,233,36,40,15,17,25,12
30296,278,162,13,31,17,2,12
30047,315,11187,7055,15,17,0,10
30008,222,444,2244,9,17,1626,12
29897,528,1285,3065,18,17,7,12
29487,77,151,5,18,17,7,12
28966,160,111,29,9,1,7,12
28965,165,439,24,15,11,7,12
28793,124,709010,21,14,5,7,6
28702,198,336,142,37,16,2,11
28391,206,479,415,34,16,7,11
28051,59,31153,1077,8,16,7,11
28000,7,908,308,15,16,7,11
28000,37,1383,60,37,34,2,11
27939,116,114,2221,23,16,0,6
27000,3,492,123,11,31,2,10
26710,194,8613,1243,74,16,2,14
26542,209,23401,37133,69,2,94,22
26507,94,895,31444,22,16,6,11
26392,78,5414,10099,16,15,2,11
26232,35,979,4462,8,15,8,11
26143,101,687,16,19,15,6,10
26000,45,15672,9459,20,15,6,11
25982,69,290,211,8,15,6,11
25868,140,636,260,23,15,2,11
25843,47,2525,2075,46,15,6,11
25751,57,205,15108,5,31,6,11
25641,289,260,1187,6,15,2,11
25583,154,5766,1533,11,15,7,11
25427,238,5539,17740,25,15,2,10
25327,52,908,1873,4,15,2,11
25164,22,296,471,8,15,16,11
25150,68,6504,17111,16,109,137,11
25130,57,433,107,13,15,6,10
25000,26,390,1259,70,15,6,11
25000,62,1221,1322,24,15,5,11
24688,68,4224,10558,40,9,15,10
24670,110,1932,31826,22,15,2,11
24569,5,481,35335,6,15,0,10
24535,177,272,67,12,15,2,10
24334,55,134629,2174,33,15,0,10
24244,169,4853,847,26,15,2,18
24002,173,423,0,19,14,2,10
23969,31,263,2073,26,2,0,10
23890,271,542,3819,23,14,6,10
23870,22,195,508,11,9,6,10
23817,97,135,6,4,13,6,10
23784,181,600,4935,8,14,2,10
23697,140,561,614,16,2,6,10
23635,253,950,897,10,14,2,10
23399,33,176,336,27,11,6,8
23369,18,915,5255,71,14,14,10
23344,190,15865,3367,8,14,0,10
23326,277,580,2898,9,14,2,10
23116,143,1114,137,11,14,0,9
23041,23,534,0,11,14,0,10
23000,3,153,97,33,14,6,9
23000,0,60,201,14,14,2,9
23000,7,51277,0,9,9,6,10
22956,29,645,5342,8,116,109,10
22816,244,1000000,2077,20,4,12,10
22559,124,82101,3955,71,14,7,34
22483,155,142,21,40,14,5,9
22482,164,166,17,18,14,5,9
22421,125,233,428,13,14,6,9
22373,212,445,5974,13,66,46,15
22318,54,36780,154,22,13,5,8
22270,245,219,26,22,14,5,10
22219,141,4729,329,43,84,99,39
22104,166,54,46,17,14,0,9
22000,57,780,927,84,15,1,10
22000,2,12912,313,8,11,5,9
21988,92,1038,928,15,14,1,10
21939,85,986,2382,11,14,1,10
21796,78,265,140,21,14,1,9
21620,173,63017,29580,17,8,11,17
21557,128,886,759,12,13,29,9
21510,216,329,1588,12,13,1,9
21281,111,651581,44,10,12,5,9
21169,137,480,339,22,12,5,11
21142,47,115,24640,21,3,5,9
21062,294,1083,69916,63,13,1,9
21000,7,1197,9,20,7,5,9
20949,138,461,437,7,13,5,10
20857,70,398,13,26,13,5,9
20787,93,495,0,23,13,1,9
20640,120,291,129,10,13,1,9
20300,67,37323,7,8,11,5,9
20000,15,741,101,14,16,1,9
19789,11,654,141,13,13,1,9
19636,132,11419,223,26,13,5,9
19579,179,194,5,31,13,5,8
19291,99,68255,34720,27,12,5,9
19264,66,237,16,19,12,5,9
19138,16,119,6795,6,30,1,9
19055,72,656,1128,32,11,5,11
19052,148,717,2079,9,12,9,9
19000,1116,1083,6051,247,46,5,9
18919,557,3359,1571,62,12,1,9
18812,87,921956,838,20,1,5,9
18536,25,19007,93,15,11,5,9
18298,76,1049,11297,26,4,7,12
18263,68,306,423,11,3,5,8
18000,4,398,10,8,9,4,8
18000,192,11323,4873,30,12,1,8
17991,219,10329,1727,11,1,1,8
17788,148,113,116,8,12,1,8
17784,91,24294,24843,17,12,4,23
17782,86,1116,3381,7,12,4,8
17655,50,2452,25499,22,12,11,8
17630,95,25209,4183,7,12,1,8
17520,132,534,46,119,12,1,13
17491,127,178,0,10,11,4,8
17439,223,429,415,11,12,0,8
17402,65,2207,3188,24,167,24,8
17004,81,152,22,8,11,4,8
16948,7,20179,5250,24,11,4,7
16655,231,10111,86,8,11,4,8
16606,9,229,104,4,10,4,8
16117,28,3231,2242,16,11,1,8
16000,5,265554,11,14,6,4,8
15984,236,308,492,5,11,0,7
15950,55,530,29,25,8,4,8
15800,28,12941,2969,4,11,1,7
15739,75,68,19,11,2,4,7
15703,153,280,84,11,11,1,7
15682,56,229,33579,18,11,1,41
15478,57,757,1345,6,11,1,19
15243,94,81,0,8,9,4,7
15153,95,174,5,4,10,1,7
15000,10,268,11,66,3,4,7
15000,33,20980,33907,180,42,12,49
14844,50,2627,590,43,352,1375,20
14777,46,24942,119714,30,10,0,7
14748,78,235,293,4,8,4,7
14670,33,1763,1401,148,10,4,62
14550,115,153,3,5,10,4,7
14506,61,10981,18594,9,10,4,7
14474,139,3089,6194,49,205,21,11
14390,46,1000,0,4,10,1,7
14366,42,402,15,8,9,4,7
14231,103,1404,92,9,10,1,7
14217,117,29579,118104,8,10,9,7
14198,27,4393,1332,8,10,7,17
14000,77,420,7653,29,674,1155,27
14000,10,133,6,7,10,1,7
14000,114,2278,31940,97,105,109,45
13994,60,2873,103,19,10,1,15
13725,108,1366,9,11,10,3,7
13539,79,11130,43,10,9,3,7
13507,84,4371,19622,51,13,8,7
13467,384,3017,37173,37,10,1,16
13459,71,422,192,28,9,69,7
13259,48,177,20,6,9,3,7
13214,1,929,33383,7,236,248,25
13203,1483,2813,40074,5,9,10,7
13159,178,569,6056,16,178,3,7
13002,63,3068,109119,9,9,1,7
13000,37,1874,670,12,9,3,6
13000,11,24893,0,30,5,3,5
13000,16,659,94,52,9,1,6
12976,87,1156,10,12,9,1,7
12932,80,203,14672,16,9,1,7
12818,171,882,35254,21,9,1,7
12783,98,3200,15290,11,9,1,7
12777,158,58,28,9,9,10,6
12762,106,553,627,12,9,1,7
12724,42,1544,2146,33,9,1,7
12676,8,6048,37397,39,29,3,6
12622,34,3,0,12,9,333,6
12329,127,1215,14,18,9,3,6
12292,229,361,23325,101,9,11,6
12000,7,583,2845,145,9,1,6
12000,20,10624,3474,16,9,3,6
12000,4,3143,1604,15,9,1,6
12000,2,511,34,7,9,3,6
12000,10,197,0,7,9,1,6
11937,88,51816,213,63,9,8,6
11886,61,371,5449,13,9,0,6
11815,41,589,2322,20,9,1,6
11693,80,35,129,7,9,0,6
11563,51,941,2685,21,344,566,6
11551,76,2797,323,11,8,3,5
11451,105,395,499,34,8,1,85
11300,28,6765,2772,6,8,28,5
11212,37,476,15,7,8,3,6
11090,87,449,10,8,8,0,6
11057,88,186,41,6,8,3,10
11056,14,755,23807,5,8,3,6
11000,80,61,129,8,8,3,10
10988,8,128,310,12,8,0,6
10969,17,2412,786,17,8,5,6
10880,52,19521,121918,8,8,1,6
10804,59,801,847,11,8,3,6
10395,53,1372,407,10,8,1,6
10304,42,298,189,4,8,3,6
10293,19,13492,4222,4,8,0,6
10282,54,3863,596,6,8,3,6
10195,79,82650,97,13,8,9,6
10150,55,174,2783,8,8,1,5
10117,70,399,300,20,8,0,69
10095,76,672,85041,18,8,0,4
10040,78,67,4,13,8,3,5
10032,67,1036,454,38,8,1,5
10011,7,11014,3116,7,8,1,6
10000,8,425,16,9,8,3,5
10000,90,2465,136846,52,1,1,6
9687,41,761,505,5,7,1,5
9673,72,117776,0,7,12,2,5
9666,82,267,20,5,7,2,5
9600,16,376,3624,8,7,0,5
9535,66,3343,2229,8,7,1,5
9409,34,2988,0,4,7,2,5
9374,97,3610,54,5,7,0,5
9255,26,470,31954,5,7,1,19
9200,3,691,13795,5,7,0,5
9061,137,821,4069,23,202,73,9
9008,15,351,10949,15,7,9,7
8961,5,136,290,20,7,1,13
8841,23,21966,1259,13,7,0,5
8646,78,253,2,6,2,2,8
8642,68,134,280,13,7,0,8
8547,115,1108,40456,23,11,9,11
8543,27,11318,43486,7,7,1,12
8494,183,424,6410,25,7,2,5
8346,103,318,68,14,7,2,6
8300,0,1046,0,5,7,2841,5
8177,54,43,0,5,2,1,6
8176,48,520,107,6,7,1,5
8132,45,468,2,6,7,0,5
8093,39,400,6262,20,13,141,5
7998,78,275,902,34,609,311,6
7997,33,7658,105,10,7,2,5
7775,13,508,844,19,6,2,6
7711,35,367,29,13,6,2,5
7705,60,610,110184,7,6,2,6
7508,34,23363,40094,22,20,2,4
7400,15,916348,1,19,1,2,8
7397,37,122,87349,27,6,1,4
7333,17,976,282,28,6,0,6
7300,1,483,3797,10,6,1,4
7148,33,845,323,6,6,5,7
6929,30,1042,22237,7,6,1,3
6894,46,898,2661,126,6,1,22
6719,45,312,235,5,19,68,4
6714,133,508,4693,42,6,41,4
6669,38,118,5,5,6,1,4
6551,34,574,3213,11,6,54,4
6413,48,806,928,13,6,1,4
6400,30,662,930,9,6,1,4
6386,35,182,30,11,27,2,4
6300,6,395,220,13,71,1,4
6293,13,304,411,7,5,0,4
6273,418,303,489,20,5,7,4
6206,37,277827,227,7,5,1,4
6000,0,805,7295,66,2,1,4
5799,86,234,154,9,22,1,4
5796,16,38689,539,5,5,0,4
5755,81,587,243,20,21,51,4
5469,14,108,1291,4,5,1,4
5448,47,105,4939,19,9,1,4
5391,48,3272,3773,14,5,0,5
5358,90,389,5576,8,5,9,4
5222,66,1349,908,5,5,1,3
5200,30,315,131,11,5,1,3
5199,23,97,4,11,4,1,3
5100,12,4173,1421,32,5,1,7
4834,43,344,962,24,4,0,3
4831,22,26810,437,6,6,1,3
4802,6,580,34,5,4,7,3
4756,16,442,601,15,4,7,3
4732,44,1088,2098,10,4,1,3
4700,7,217,0,24,4,1,3
4679,85,392,160,13,3,9,3
4656,264,4511,4022,5,4,1,3
4625,63,96,131,10,4,1,3
4600,19,254,129,12,4,1,3
4499,72,57155,4,4,4,1,3
4435,37,362,814,7,5,1,3
4400,39,520,353,17,4,1,3
4353,28,77,11,4,4,1,3
4321,40,60,0,10,4,1,3
4300,0,486,308,64,9,0,3
4300,3,142,308,6,5,1,3
4248,9,1094,112,14,12,1,3
4098,21,335,29,93,2,0,3
4025,27,137,1161,6,5,1,3
4000,52,26242,22970,18,4,1,3
4000,4,263,14143,24,3,1,3
3859,34,344,3982,4,4,5,3
3837,7,939,29606,9,3,1,3
3813,36,266,22,16,3,1,3
3466,19,414,3858,7,87,8,3
3464,12,285,93,37,3,0,8
3398,9,948,285,24,3,1,3
3344,13,2488,18504,47,3,1,2
3315,32,914,26230,5,5,8,2
3267,12,173,0,7,5,1,2
3200,0,2224,13,10,4,1,2
3131,19,1178,591,10,3,27,2
3126,23,56562,46,8,4,1,2
3101,2,208,2008,29,0,6,2
3043,40,147,15,6,3,1,2
3023,53,867,580,13,3,1,2
2889,49,114,20,15,3,1,2
2860,33,211,1925,7,0,16,2
2775,24,798,20,37,3,5,2
2633,60,235,3033,12,3,54,2
2623,42,182,3091,24,3,142,2
2494,10,344,62,16,3,0,2
2449,25,194,0,11,3,0,2
2431,20,765,21742,9,3,0,2
2424,18,27409,10712,8,3,5,2
2397,39,1150,2465,32,3,1,9
2363,23,351,421,11,3,0,2
2181,4,1000,85,14,2,0,2
2172,23,560,72,4,2,0,2
2121,18,1174,16445,28,3,0,2
2000,23,1156,724,4,2,0,2
1994,24,2984,800,5,2,0,2
1835,15,955,21,6,2,0,2
1816,44,999,2030,13,2,0,2
1809,3,2439,29,10,2,0,2
1800,3,1202,0,16,2,0,2
1800,5,56,24,6,1,0,2
1761,18,651,407,6,2,7,2
1600,24,695,32583,4,2,0,1
1600,19,763498,10318,12,2,0,1
1584,8,216,72,7,1,0,1
1569,14,81,0,7,1,0,1
1555,27,168,3438,9,2,1,1
1502,19,981,31995,4,2,1,1
1500,2,325,526,24,2,0,1
1468,18,5997,15081,27,2,0,1
1454,18,243,1154,9,2,0,1
1400,0,4729,6,4,2,0,1
1315,91,313,10912,12,0,1,1
1300,2,237,0,13,1,0,1
1253,16,925,20480,18,1,10,1
1200,27,611,1303,15,1,0,1
1200,6,450,0,4,2,0,1
1000,0,123,0,13,1,0,1
800,1,5118,0,22,2,0,1
700,5,434,567,9,1,1,1
656,18,7719,18,4,1,0,1
582,9,63007,38216,10,1,0,1
500,2,74,0,14,1,0,1
465,14,183,49,4,0,0,1
448,4,2214,35,9,0,0,1
420,7,32,93,5,0,0,1
296,18,896,34400,12,1,0,0
