col1
"Action,Shooter,Shoot-'Em-Up,Top-Down"
"Puzzle,Action"
"General,Action Adventure,Adventure,General,Linear"
"Action,Platformer,2D"
"Action,Shooter,First-Person,Arcade"
"General,Action,Miscellaneous,General"
"Action,General"
"Driving,Racing,Simulation,Arcade,Motorcycle,Automobile,Street"
"Adventure,3D,First-Person"
"Puzzle,Action"
"Action Adventure,General"
"Action,Shooter,Shoot-'Em-Up,Vertical"
"Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical"
"Action,Action Adventure,General,General,Linear"
"Strategy,Management,Business / Tycoon"
"Action,Platformer,2D"
"Action,General"
"Driving,Racing,Arcade,Futuristic"
