SteamCCU,SteamComments,SteamFollowers
1056,4894,45839
17,235,2915
15,523,15180
21,1771,5476
5,4302,16620
55,1019,15520
101,6509,37403
,,
,,
4016,11092,41889
65,3301,46232
10,770,1358
192,2829,63643
20,844,10664
123,2656,29550
254,3195,17761
,,
92,1473,27235
33,2376,13813
647,1650,10155
22797,5796,97455
3217,2253,20721
82,1808,19321
300,5304,63682
662,4662,69368
,,
21,3296,32428
9,560,7104
31,919,3376
1716,4522,40248
140,2553,19269
22,2259,6051
52,2391,21409
,,
403,980,10092
60,1235,39053
14,1494,8033
12,,1776
139,1626,43510
3239,7017,88830
107,3572,71962
197,3026,42891
9,1717,3071
1990,3689,77101
,,
,,
11,35,752
590,6656,100987
2450,2444,31116
,,
2435,3780,29565
150,2246,24806
42,2262,28297
63,1983,20240
41,1485,9640
47,3162,18541
129,2047,8160
31,462,1436
1946,5106,43955
,,
98,3286,22971
82,1794,10401
24,2725,15239
42,1603,6768
436,1399,7893
613,2065,17704
33,471,8699
32,3901,4784
81,1140,7194
246,2332,37410
28,2454,5379
76,1743,5663
90,4924,40009
826,622,512
,,
1047,5192,68971
73,3827,19181
248,12788,46651
100,1812,19713
1102,4239,46559
681,1985,25209
116,2321,28974
108,,15039
3011,89,1852
626,366,2405
52,1060,6766
148,1553,10322
6086,4207,56408
267,4344,34859
433,1844,27693
312,2394,24277
34,2348,13344
492,7581,47970
958,2137,19404
12,959,4201
21,2177,59130
,,
,,
71,357,9126
25,667,3569
32,2704,19446
102,1490,10257
153,1587,3830
344,1068,28280
88,510,11054
156,5345,28604
149,2491,17264
48,1116,2795
13403,10415,31790
67,746,6744
,,
54,3110,7239
24,1558,13183
667,4883,169258
12,434,20109
,,
,,
5565,8045,43810
151,2424,49653
4,357,399
69,3262,18375
25,2071,10884
12,2795,5888
22,1043,8653
7,604,10878
33,2118,11877
10,1018,1423
231,2471,32143
1643,3534,95545
45,1132,12635
,,
,,
,,
172,5009,27808
516,1686,29733
8,2594,5740
420,487,26071
53,921,11507
75,1450,15231
12,1138,5279
14,330,1732
31,1573,25862
59,2923,49602
8,1212,8531
,,
148,375,6733
7,1232,1711
80,3621,13057
12,301,2231
22,1198,6731
46,1571,9435
390,784,6610
85,1366,23245
59,2204,39303
864,2703,67891
67,804,1701
313,1171,20424
24,945,4097
77,1382,15164
16,644,2081
27,342,3898
295,3814,31282
63,2683,25220
20,774,1979
90,2871,74182
27,1997,17882
117,1907,16151
18,258,489
13,120,3980
1321,4127,17883
153,3639,36066
544,917,16257
166,5269,17126
1216,3906,98630
42,627,4961
333,1365,15149
10,166,596
1474,5151,82934
85,487,25583
940,3686,17052
,,
