ds,y,promotion
2022/3/8,1859,0
2022/3/9,777,0
2022/3/10,397,0
2022/3/11,269,0
2022/3/12,261,0
2022/3/13,275,0
2022/3/14,256,0
2022/3/15,196,0
2022/3/16,193,0
2022/3/17,167,0
2022/3/18,162,0
2022/3/19,169,0
2022/3/20,205,0
2022/3/21,214,0
2022/3/22,164,0
2022/3/23,144,0
2022/3/24,115,0
2022/3/25,115,0
2022/3/26,97,0
2022/3/27,130,0
2022/3/28,118,0
2022/3/29,105,0
2022/3/30,94,0
2022/3/31,102,0
2022/4/1,84,0
2022/4/2,95,0
2022/4/3,105,0
2022/4/4,81,0
2022/4/5,87,0
2022/4/6,75,0
2022/4/7,70,0
2022/4/8,83,0
2022/4/9,100,0
2022/4/10,123,0
2022/4/11,101,0
2022/4/12,89,0
2022/4/13,88,0
2022/4/14,87,0
2022/4/15,613,0
2022/4/16,501,0
2022/4/17,323,0
2022/4/18,303,0
2022/4/19,138,0
2022/4/20,223,0
2022/4/21,187,0
2022/4/22,257,0
2022/4/23,178,0
2022/4/24,136,0
2022/4/25,133,0
2022/4/26,116,0
2022/4/27,108,0
2022/4/28,90,0
2022/4/29,71,0
2022/4/30,83,0
2022/5/1,75,0
2022/5/2,71,0
2022/5/3,60,0
2022/5/4,70,0
2022/5/5,47,0
2022/5/6,63,0
2022/5/7,53,0
2022/5/8,69,0
2022/5/9,45,0
2022/5/10,54,0
2022/5/11,56,0
2022/5/12,46,0
2022/5/13,59,0
2022/5/14,67,0
2022/5/15,84,0
2022/5/16,55,0
2022/5/17,61,0
2022/5/18,58,0
2022/5/19,51,0
2022/5/20,57,0
2022/5/21,46,0
2022/5/22,41,0
2022/5/23,48,0
2022/5/24,49,0
2022/5/25,60,0
2022/5/26,52,0
2022/5/27,42,0
2022/5/28,41,0
2022/5/29,49,0
2022/5/30,56,0
2022/5/31,60,0
2022/6/1,55,0
2022/6/2,51,0
2022/6/3,41,0
2022/6/4,112,0
2022/6/5,101,0
2022/6/6,73,0
2022/6/7,78,0.1
2022/6/8,2575,0.1
2022/6/9,1812,0.1
2022/6/10,627,0.1
2022/6/11,381,0.1
2022/6/12,386,0.1
2022/6/13,355,0.1
2022/6/14,262,0.1
2022/6/15,129,0.1
2022/6/16,82,0.1
2022/6/17,73,0.1
2022/6/18,72,0.1
2022/6/19,84,0.1
2022/6/20,86,0.1
2022/6/21,76,0.1
2022/6/22,71,0.1
2022/6/23,61,0.1
2022/6/24,84,0.1
2022/6/25,91,0.1
2022/6/26,80,0.1
2022/6/27,75,0.1
2022/6/28,76,0.1
2022/6/29,77,0.1
2022/6/30,80,0.1
2022/7/1,75,0.1
2022/7/2,89,0.1
2022/7/3,68,0.1
2022/7/4,77,0.1
2022/7/5,81,0.1
2022/7/6,63,0.1
2022/7/7,60,0.1
2022/7/8,72,0.1
2022/7/9,81,0.1
2022/7/10,63,0.1
2022/7/11,80,0.1
2022/7/12,67,0.1
2022/7/13,48,0.1
2022/7/14,47,0.1
2022/7/15,63,0.1
2022/7/16,61,0.1
2022/7/17,46,0.1
2022/7/18,45,0.1
2022/7/19,52,0.1
2022/7/20,41,0.1
2022/7/21,41,0.1
2022/7/22,43,0.1
2022/7/23,54,0.1
2022/7/24,49,0.1
2022/7/25,82,0.1
2022/7/26,52,0.1
2022/7/27,42,0.1
2022/7/28,49,0.1
2022/7/29,42,0.1
2022/7/30,49,0.1
2022/7/31,55,0.1
2022/8/1,79,0.1
2022/8/2,96,0.1
2022/8/3,70,0.1
2022/8/4,61,0.1
2022/8/5,59,0.1
2022/8/6,52,0.1
2022/8/7,80,0.1
2022/8/8,54,0.1
2022/8/9,57,0.1
2022/8/10,68,0.1
2022/8/11,53,0.1
2022/8/12,60,0.1
2022/8/13,86,0.1
2022/8/14,92,0.1
2022/8/15,67,0.1
2022/8/16,90,0.1
2022/8/17,88,0.1
2022/8/18,89,0.1
2022/8/19,94,0.1
2022/8/20,115,0.1
2022/8/21,126,0.1
2022/8/22,154,0.1
2022/8/23,178,0.1
2022/8/24,202,0.1
2022/8/25,476,0.1
2022/8/26,619,0.1
2022/8/27,431,0.1
2022/8/28,428,0.1
2022/8/29,355,0.1
2022/8/30,428,0.1
2022/8/31,1354,0
2022/9/1,603,0
2022/9/2,353,0
2022/9/3,323,0
2022/9/4,294,0
2022/9/5,244,0
2022/9/6,318,0
2022/9/7,179,0
2022/9/8,118,0
2022/9/9,138,0
2022/9/10,153,0
2022/9/11,131,0
2022/9/12,117,0
2022/9/13,84,0
2022/9/14,73,0
2022/9/15,71,0
2022/9/16,56,0
2022/9/17,81,0
2022/9/18,90,0
2022/9/19,56,0
2022/9/20,50,0
2022/9/21,44,0
2022/9/22,47,0
2022/9/23,43,0
2022/9/24,53,0
2022/9/25,57,0
2022/9/26,47,0
2022/9/27,55,0
2022/9/28,24,0
2022/9/29,36,0
2022/9/30,36,0
2022/10/1,73,0.2
2022/10/2,83,0.2
2022/10/3,61,0.2
2022/10/4,69,0.2
2022/10/5,64,0.2
2022/10/6,42,0.2
2022/10/7,36,0.2
2022/10/8,41,0.2
2022/10/9,49,0.2
2022/10/10,58,0.2
2022/10/11,43,0
2022/10/12,38,0
2022/10/13,48,0
2022/10/14,31,0
2022/10/15,20,0
2022/10/16,30,0
2022/10/17,28,0
2022/10/18,12,0
2022/10/19,25,0
2022/10/20,26,0
2022/10/21,33,0
2022/10/22,23,0
2022/10/23,25,0
2022/10/24,21,0
2022/10/25,25,0
2022/10/26,17,0
2022/10/27,19,0
