Date,Gap,PriceMax,PriceMin,Chinese,French,Japanese,Korean,Russian,MCUserScore,MCCriticScore,MCRatings,MCMedia,SteamCCU,SteamComments,SteamFollowers
41428,1517,30,29.99,1,1,0,0,1,7.4,65,1068,26,186,11534,35620
41816,1466,40,8,1,1,1,0,1,8.1,79,313,49,289,7099,20663
42936,346,10,6.99,1,1,1,1,1,7.5,72,20,10,2294,10656,121316
42684,598,30,15,1,1,0,0,1,7.8,80,534,67,747,7882,105919
41527,598,6,3,1,1,0,0,1,5.9,72,872,59,123,6948,8542
41501,939,20,5,1,1,1,0,1,5.4,86,2127,56,39,15750,13501
41494,1781,15,4,1,1,0,0,0,7.3,88,243,22,38,5319,5225
42325,957,20,5,1,1,0,1,1,5.6,63,55,11,1422,10035,221975
42636,646,20,19.99,1,1,0,0,1,4.7,52,51,20,5230,11437,53671
42390,573,15,12,1,0,0,0,0,7.7,78,47,15,1414,2285,37396
42488,794,30,8,1,1,0,1,1,7.3,78,68,28,958,4139,100651
42593,689,15,1,1,1,1,1,1,7.4,77,47,10,471,5988,23242
41725,1557,40,15.99,1,1,0,0,1,6.6,81,212,31,2211,8531,87344
41479,1046,13,3,0,1,1,0,0,7,78,49,18,264,2586,7493
42523,759,9.99,3.99,1,1,0,0,1,7.9,73,18,4,1564,4050,37254
41366,759,20,5,1,0,0,0,0,7.3,72,150,15,116,2099,7685
41785,1497,11.99,4,1,1,1,0,1,8.3,83,20,4,95,3623,21013
41787,1495,13,6,1,1,0,0,0,7.2,73,117,24,189049,23051,34310
41368,1495,5,2.49,1,1,0,0,0,6.8,61,174,27,29,5424,11132
43118,164,7,2,1,0,0,0,0,7.9,68,34,15,209,6202,24062
42027,1255,30,14.99,1,1,0,0,1,7.4,77,207,45,62,3591,49710
41897,1385,29.99,7.5,1,1,1,0,1,6.7,61,90,4,118,5426,38654
42096,1186,15,7,1,1,1,0,1,7.7,65,111,14,1170,5147,49715
42633,649,20,8,1,1,0,0,1,5.5,63,136,19,1509,6450,60073
42136,1146,10,5,1,0,0,0,0,6.8,61,39,11,97,2912,60976
43237,45,11.99,11.99,1,1,1,1,1,7.5,68,85,6,6080,14673,139913
41900,246,40,7.5,0,1,0,0,1,7.2,81,1194,65,82,4362,93162
41593,1010,30,11.99,1,1,0,1,1,3.2,33,1304,24,178,6958,17747
42682,600,35,34.99,1,1,0,0,1,7.5,71,58,13,4341,7580,83599
42373,909,20,2,1,1,0,0,1,7.4,86,229,29,243,10235,17602
42683,599,35,34.99,1,1,0,0,1,8.4,81,75,18,2266,5678,37315
42150,1132,15,14.99,1,0,0,0,0,7,76,39,7,61,4978,21417
41383,1132,10,,1,1,0,0,1,6.8,58,132,16,12,2411,4113
42481,801,20,19.99,1,1,0,0,1,7.4,77,110,36,391,4648,83987
41835,1447,15,14.99,1,1,0,0,0,7.4,69,79,26,20,2234,10987
41716,1566,10,2,1,0,0,0,0,6.8,80,90,45,57,2668,7343
41584,346,5,1,1,1,1,1,1,7.1,68,251,48,924,2130,9153
42179,1103,10,2,1,0,1,0,0,6.1,86,394,49,237,5893,23646
41988,1294,10,5,0,1,1,0,0,8.7,78,118,7,143,7472,31196
43214,68,40,13.59,1,1,0,0,1,7,78,325,61,6354,9439,109143
41512,2,25,24.99,0,1,1,0,1,6.1,61,225,17,108,2730,11707
42828,454,9.99,3.09,1,0,0,0,0,7.3,73,27,4,883,5575,37661
41486,454,15,14.99,0,1,1,0,0,6.6,67,234,40,15,1573,5299
41858,1424,9.99,0.99,1,1,0,0,1,6.9,59,9,6,16,1795,7026
41492,754,4,3.99,0,1,1,0,0,7.1,76,257,37,181,1832,11406
42453,1443,40,15,1,1,0,0,1,5.7,61,363,18,127542,46958,186707
42090,1192,11.99,5,1,0,0,0,0,8.5,80,21,5,120,2737,24979
41849,1433,19.99,19.99,1,0,0,0,0,8.5,85,233,5,244,4130,44895
41593,1433,20,19.99,1,1,0,0,1,6.9,53,168,31,39,2106,19535
42621,661,20,19.99,1,1,1,0,1,7.1,73,17,12,623,2489,36813
43762,89,14,14,1,0,0,0,0,7.2,63,516,1,10276,4402,16507
41576,824,20,19.99,1,1,0,0,0,7.6,71,47,10,21,1771,5476
41892,1390,10,,1,0,0,0,0,6.5,69,13,11,5,4302,16620
42156,1126,20,3,1,1,0,0,1,4.6,43,643,48,101,6509,37403
