languages
"Simplified Chinese, English, Traditional Chinese"
"English, Ukrainian, French, Dutch, German, Czech, Polish, Swedish, Spanish - Spain, Korean, Romanian, Italian, Vietnamese"
"English, Spanish - Spain, Russian, French, German, Korean, Hungarian, Romanian, Polish, Japanese, Simplified Chinese, Italian"
"English, Spanish - Spain, Japanese, Korean, Finnish, Portuguese - Portugal, Russian, Simplified Chinese, French, Italian, German"
"English, Spanish - Spain, Catalan"
"English, Spanish - Spain"
"English, Simplified Chinese, Ukrainian, Spanish - Spain, Portuguese - Brazil, Russian, French, Polish, Vietnamese, Korean, Spanish - Latin America, German, Turkish, Serbian, Arabic, Traditional Chinese, Belarusian"
"English, Simplified Chinese, Traditional Chinese"
"English, Simplified Chinese, Thai, German, Japanese, Korean"
"English, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian, German, Korean, French, Dutch, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese"
"English, Simplified Chinese, Russian, German, Japanese"
"English, Simplified Chinese, Russian"
"English, Simplified Chinese"
"English, Simplified Chinese"
"English, Simplified Chinese"
"English, Russian, Portuguese - Brazil, French, German, Turkish, Dutch, Polish, Spanish - Spain, Romanian, Simplified Chinese, Czech, Italian, Korean, Arabic, Japanese, Danish, Norwegian, Swedish"
"English, Russian"
"English, Polish, Spanish - Latin America, German, Turkish"
"English, Polish, French, Portuguese - Brazil, Spanish - Spain, Simplified Chinese, Traditional Chinese, Swedish, Italian, Japanese, Danish, Hungarian, Korean, Russian, Bulgarian, Finnish, Serbian, Spanish - Latin America, Ukrainian"
"English, Japanese, Korean, Traditional Chinese, French, Italian, German, Spanish - Spain, Simplified Chinese"
"English, Japanese, Korean, Simplified Chinese, Traditional Chinese, French, German, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Turkish, Italian"
"English, Italian, Simplified Chinese, Russian, French, Spanish - Spain, Korean, Japanese, Turkish, German, Thai"
"English, Italian, Japanese, Spanish - Spain, French, Russian, Portuguese - Brazil, Traditional Chinese, German, Ukrainian, Korean, Simplified Chinese, Turkish"
"English, German, Spanish - Spain, Simplified Chinese, Japanese"
"English, German, Spanish - Spain, Russian, Simplified Chinese, Spanish - Latin America, French, Japanese"
"English, German, Spanish - Spain, French, Italian, Portuguese - Portugal, Czech, Dutch, Polish"
"English, German, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain"
"English, German, Russian, Spanish - Spain"
"English, German, Russian, French, Spanish - Spain, Polish, Portuguese - Portugal, Korean, Simplified Chinese, Traditional Chinese, Italian, Czech, Japanese, Portuguese - Brazil, Danish, Finnish"
"English, German, Russian, French, Hungarian, Japanese, Simplified Chinese, Traditional Chinese, Dutch, Italian, Czech, Polish, Norwegian, Spanish - Spain, Korean"
"English, German, Portuguese - Portugal, Simplified Chinese, Turkish, Portuguese - Brazil, Japanese, Russian, French, Korean, Spanish - Spain"
"English, German, Polish, Russian, Japanese"
"English, German, French, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Japanese, Russian, Korean, Traditional Chinese, Turkish"
"English, German, Dutch, Japanese, Portuguese - Brazil, Spanish - Latin America, Swedish, French, Simplified Chinese, Traditional Chinese, Korean, Polish, Russian, Ukrainian"
"English, French, Spanish - Spain, Simplified Chinese"
"English, French, Spanish - Spain, Japanese, Simplified Chinese, Spanish - Latin America"
"English, French, Spanish - Spain"
"English, French, Russian, Ukrainian, German, Spanish - Spain, Italian, Simplified Chinese"
"English, French, Russian, German, Simplified Chinese"
"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Polish, Portuguese - Brazil, Russian, Thai, Turkish, Japanese, Traditional Chinese, Spanish - Latin America, Dutch, Korean, Portuguese - Portugal, Ukrainian"
"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Polish, Japanese, Korean, Traditional Chinese"
"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil"
"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Simplified Chinese"
"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, Polish, Korean"
"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Russian, Simplified Chinese"
"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Polish"
"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish"
"English, French, Italian, German, Spanish - Spain, Hungarian, Romanian, Russian, Arabic, Korean, Simplified Chinese, Japanese, Polish, Portuguese - Brazil"
"English, French, Italian, German, Spanish - Spain, Finnish, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Polish"
"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese"
"English, French, Italian, German, Spanish - Spain, Czech, Romanian, Russian, Simplified Chinese, Dutch, Hungarian, Greek, Norwegian, Portuguese - Brazil, Turkish, Ukrainian, Polish, Japanese, Korean"
"English, French, Italian, German, Spanish - Spain, Czech, Polish, Portuguese - Brazil, Russian, Swedish, Traditional Chinese"
"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Russian"
"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian"
"English, French, Italian, German, Spanish - Spain, Bulgarian, Simplified Chinese, Traditional Chinese, Korean, Danish, Finnish, Hungarian, Japanese, Norwegian, Dutch, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Swedish, Czech, Turkish"
"English, French, Italian, German, Spanish - Spain, Bulgarian, Hungarian, Danish, Dutch, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Turkish, Ukrainian, Finnish, Czech, Swedish, Greek, Belarusian, Irish, Icelandic, Catalan, Latvian, Lithuanian, Serbian, Croatian, Estonian"
"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Traditional Chinese, Simplified Chinese, Czech, Danish, Finnish, Greek, Spanish - Latin America, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Romanian, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Hungarian"
"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese"
"English, French, Italian, German, Portuguese - Portugal, Portuguese - Brazil, Finnish, Russian, Japanese, Traditional Chinese, Simplified Chinese, Spanish - Spain, Turkish, Hungarian, Polish, Korean"
"English, French, German, Spanish - Spain, Simplified Chinese, Russian, Polish, Portuguese - Portugal, Korean, Japanese, Portuguese - Brazil"
"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Turkish, Dutch, Japanese, Portuguese - Brazil, Polish, Ukrainian"
"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Italian, Turkish, Japanese, Korean"
"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Korean"
