ds,y,promotion
2022/8/28,237199,0.1
2022/8/29,260013,0.1
2022/8/30,295525,0.1
2022/8/31,307215,0
2022/9/1,317702,0
2022/9/2,327413,0
2022/9/3,335244,0
2022/9/4,341529,0
2022/9/5,347347,0
2022/9/6,352364,0
2022/9/7,356302,0
2022/9/8,360059,0
2022/9/9,364981,0
2022/9/10,368830,0
2022/9/11,372288,0
2022/9/12,375643,0
2022/9/13,378327,0
2022/9/14,381164,0
2022/9/15,383419,0
2022/9/16,386400,0
2022/9/17,389302,0
2022/9/18,391628,0
2022/9/19,393428,0
2022/9/20,394814,0
2022/9/21,396363,0
2022/9/22,397753,0
2022/9/23,399661,0
2022/9/24,401227,0
2022/9/25,402634,0
2022/9/26,403968,0
2022/9/27,405133,0
2022/9/28,406052,0
2022/9/29,406896,0
2022/9/30,409231,0.2
2022/10/1,411639,0.2
2022/10/2,413368,0.2
2022/10/3,414966,0.2
2022/10/4,416211,0.2
2022/10/5,417360,0.2
2022/10/6,418551,0.2
2022/10/7,419765,0.2
2022/10/8,421190,0.2
2022/10/9,422577,0.2
2022/10/10,423807,0.2
2022/10/11,425054,0.2
2022/10/12,426156,0
2022/10/13,427156,0
2022/10/14,428656,0
2022/10/15,429956,0
2022/10/16,431056,0
2022/10/17,432056,0
2022/10/18,433006,0
2022/10/19,433906,0
2022/10/20,434756,0
