Developer,Publisher,IP,Date,Gap,PlayerType,PriceMax,PriceMin,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends,IsFamous
7,9,10,42993,322,2,60,10,373,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,475329425,67731673,37575077,8828785,177247,61960,4.3,87,1225,91,25432,17574,58964,594,5.882352941,1
10,10,9,41849,1757,2,60,6,4139,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11949089,0,0,129989,37803,9.1,95,7617,69,0,0,0,7674,0.57,1
9,9,6,41709,571,2,60,5,956,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,110413614.8,0,4205201,0,420593,29807,6.7,86,4218,97,,,,1579,12.5,1
10,10,6,42937,801,2,60,40,305,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6379065,175653,171642,8.5,83,1028,100,0,0,0,2646,2.631578947,1
5,5,1,41619,1663,2,35,23,2433,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,99507553.11,0,0,0,128558,57838,6.2,69,386,11,93595,354531,696618,112,8.333333333,1
9,9,7,41786,158,2,60,3,3431,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,120666816.2,8877146,6206354,0,644140,11645,6.4,80,7344,113,47887,23164,82390,2452,20,1
7,9,10,42629,321,2,60,15,589,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315656107.8,49982669,28115081,0,179288,42215,6.3,90,486,70,14905,8446,47357,758,6.666666667,1
8,9,9,41733,1058,2,20,8,2070,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,113514303.9,0,0,0,322226,151951,5.8,71,2493,64,32498,57056,305790,115,2.040816327,1
9,9,8,41337,1021,0,30,3,6536,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,71729693.14,0,0,0,475705,112845,8.4,86,4077,18,29244,106253,132971,7593,14.28571429,1
9,9,10,42703,713,1,60,18,2467,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,53590983,30038267,0,267796,110368,7.8,83,4738,122,29498,15322,0,2292,4.166666667,1
7,10,8,43025,499,2,60,20,993,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,69292025,0,0,174485,13699,6.1,75,1489,83,0,0,0,256,1.960784314,1
10,10,10,43378,360,2,60,42,146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25670610,123679,52103,7.5,76,393,84,0,0,0,1146,1.041666667,1
7,9,8,43721,17,1,60,30,513,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1066802969,103229681,56495069,0,52118,360940,5.6,82,3195,116,,,,469,16.66666667,1
7,9,6,42674,372,0,19,18,21,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,332104389.4,52176914,29284586,0,82363,56534,7.9,85,536,66,51650,29489,190576,632,6.666666667,1
8,9,8,42397,670,0,60,9,4564,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,242722304.4,0,22085633,0,86822,120955,8,86,2790,147,44588,62900,345877,5079,2.43902439,1
8,8,8,42759,977,0,60,15,2205,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,365494543.6,56321599,31493651,0,150371,224481,7.9,86,3701,136,20449,13442,170069,2699,9.090909091,1
6,6,4,41334,1948,2,15,4,3707,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,71479491.77,0,0,0,3242,22994,8.6,74,576,24,121575,110485,271019,302,0.56,1
